date,number_of_users
2021-03-15,1
2021-03-16,2
2021-03-17,3
2021-03-18,3
2021-03-19,3
2021-03-20,3
2021-03-20,3
2021-03-21,3
2021-03-22,4
2021-03-23,5
2021-03-24,6
2021-03-25,6
2021-03-26,7
2021-03-27,7
2021-03-27,7
2021-03-28,8
2021-03-28,9
2021-03-29,9
2021-03-30,10
2021-03-30,11
2021-03-31,11
2021-04-01,12
2021-04-02,13
2021-04-02,14
2021-04-03,15
2021-04-03,16
2021-04-04,17
2021-04-05,18
2021-04-06,19
2021-04-06,20
2021-04-07,20
2021-04-08,20
2021-04-09,21
2021-04-09,22
2021-04-10,23
2021-04-11,24
2021-04-12,24
2021-04-13,24
2021-04-14,25
2021-04-14,26
2021-04-14,27
2021-04-15,28
2021-04-16,28
2021-04-16,28
2021-04-17,30
2021-04-17,32
2021-04-18,33
2021-04-18,34
2021-04-19,35
2021-04-20,36
2021-04-20,37
2021-04-20,38
2021-04-21,39
2021-04-21,40
2021-04-22,41
2021-04-23,42
2021-04-23,43
2021-04-24,43
2021-04-25,44
2021-04-26,44
2021-04-27,46
2021-04-27,48
2021-04-27,50
2021-04-28,50
2021-04-28,50
2021-04-29,50
2021-04-30,52
2021-04-30,54
2021-05-01,55
2021-05-02,57
2021-05-02,59
2021-05-02,61
2021-05-03,61
2021-05-04,62
2021-05-05,63
2021-05-05,64
2021-05-06,64
2021-05-07,64
2021-05-07,64
2021-05-08,64
2021-05-08,64
2021-05-09,64
2021-05-09,64
2021-05-10,64
2021-05-11,65
2021-05-12,65
2021-05-12,65
2021-05-13,66
2021-05-14,67
2021-05-15,68
2021-05-15,69
2021-05-16,70
2021-05-16,71
2021-05-17,72
2021-05-17,73
2021-05-18,75
2021-05-18,77
2021-05-18,79
2021-05-19,80
2021-05-20,82
2021-05-20,84
2021-05-21,84
2021-05-22,84
2021-05-22,84
2021-05-23,85
2021-05-24,87
2021-05-24,89
2021-05-24,91
2021-05-25,91
2021-05-26,91
2021-05-26,91
2021-05-26,91
2021-05-27,92
2021-05-27,93
2021-05-27,94
2021-05-27,95
2021-05-27,96
2021-05-28,96
2021-05-28,96
2021-05-29,96
2021-05-30,96
2021-05-31,97
2021-06-01,98
2021-06-01,99
2021-06-01,100
2021-06-01,101
2021-06-02,101
2021-06-03,101
2021-06-04,102
2021-06-04,103
2021-06-04,104
2021-06-05,105
2021-06-06,106
2021-06-06,107
2021-06-07,107
2021-06-08,107
2021-06-08,107
2021-06-09,107
2021-06-10,108
2021-06-10,109
2021-06-11,109
2021-06-12,109
2021-06-13,110
2021-06-13,111
2021-06-14,111
2021-06-14,111
2021-06-15,111
2021-06-16,111
2021-06-17,111
2021-06-17,111
2021-06-17,111
2021-06-18,111
2021-06-19,112
2021-06-20,112
2021-06-21,113
2021-06-22,115
2021-06-22,117
2021-06-22,119
2021-06-23,120
2021-06-24,120
2021-06-25,121
2021-06-25,122
2021-06-26,122
2021-06-27,123
2021-06-28,126
2021-06-28,129
2021-06-28,132
2021-06-28,135
2021-06-29,135
2021-06-30,135
2021-07-01,135
2021-07-02,137
2021-07-02,139
2021-07-02,141
2021-07-02,143
2021-07-03,143
2021-07-04,144
2021-07-05,148
2021-07-05,152
2021-07-05,156
2021-07-05,160
2021-07-05,164
2021-07-06,165
2021-07-07,166
2021-07-08,167
2021-07-09,167
2021-07-09,167
2021-07-09,167
2021-07-10,168
2021-07-10,169
2021-07-10,170
2021-07-11,171
2021-07-11,172
2021-07-12,173
2021-07-12,174
2021-07-13,175
2021-07-13,176
2021-07-14,176
2021-07-14,176
2021-07-14,176
2021-07-15,177
2021-07-15,178
2021-07-15,179
2021-07-16,180
2021-07-16,181
2021-07-17,183
2021-07-17,185
2021-07-17,187
2021-07-17,189
2021-07-18,189
2021-07-18,189
2021-07-19,190
2021-07-19,191
2021-07-20,191
2021-07-21,191
2021-07-21,191
2021-07-22,194
2021-07-22,197
2021-07-22,200
2021-07-23,200
2021-07-24,201
2021-07-24,202
2021-07-24,203
2021-07-25,204
2021-07-25,205
2021-07-26,206
2021-07-26,207
2021-07-27,208
2021-07-27,209
2021-07-27,210
2021-07-28,211
2021-07-28,212
2021-07-29,212
2021-07-30,213
2021-07-30,214
2021-07-31,217
2021-07-31,220
2021-07-31,223
2021-08-01,223
2021-08-02,224
2021-08-02,225
2021-08-02,226
2021-08-03,227
2021-08-03,228
2021-08-03,229
2021-08-03,230
2021-08-04,231
2021-08-05,231
2021-08-06,232
2021-08-06,233
2021-08-07,234
2021-08-07,235
2021-08-07,236
2021-08-08,237
2021-08-08,238
2021-08-08,239
2021-08-09,240
2021-08-09,241
2021-08-10,242
2021-08-11,242
2021-08-12,243
2021-08-13,243
2021-08-13,243
2021-08-14,243
2021-08-15,243
2021-08-16,243
2021-08-16,243
2021-08-17,244
2021-08-17,245
2021-08-17,246
2021-08-17,247
2021-08-18,247
2021-08-18,247
2021-08-19,250
2021-08-19,253
2021-08-19,256
2021-08-20,257
2021-08-20,258
2021-08-21,258
2021-08-21,258
2021-08-21,258
2021-08-22,260
2021-08-22,262
2021-08-23,263
2021-08-23,264
2021-08-23,265
2021-08-24,266
2021-08-24,267
2021-08-25,267
2021-08-25,267
2021-08-25,267
2021-08-26,268
2021-08-26,269
2021-08-27,269
2021-08-27,269
2021-08-28,272
2021-08-28,275
2021-08-28,278
2021-08-28,281
2021-08-29,281
2021-08-30,282
2021-08-30,283
2021-08-31,285
2021-08-31,287
2021-09-01,287
2021-09-01,287
2021-09-02,288
2021-09-03,290
2021-09-03,292
2021-09-04,292
2021-09-05,293
2021-09-05,294
2021-09-06,295
2021-09-07,297
2021-09-07,299
2021-09-07,301
