date,number_of_users
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,1
2021-03-19,2
2021-03-20,4
2021-03-20,6
2021-03-21,7
2021-03-22,7
2021-03-23,7
2021-03-24,7
2021-03-25,8
2021-03-26,8
2021-03-27,10
2021-03-27,12
2021-03-28,13
2021-03-28,14
2021-03-29,15
2021-03-30,15
2021-03-30,15
2021-03-31,16
2021-04-01,16
2021-04-02,17
2021-04-02,18
2021-04-03,19
2021-04-03,20
2021-04-04,20
2021-04-05,20
2021-04-06,21
2021-04-06,22
2021-04-07,23
2021-04-08,23
2021-04-09,23
2021-04-09,23
2021-04-10,23
2021-04-11,23
2021-04-12,24
2021-04-13,24
2021-04-14,24
2021-04-14,24
2021-04-14,24
2021-04-15,24
2021-04-16,26
2021-04-16,28
2021-04-17,28
2021-04-17,28
2021-04-18,28
2021-04-18,28
2021-04-19,28
2021-04-20,30
2021-04-20,32
2021-04-20,34
2021-04-21,35
2021-04-21,36
2021-04-22,36
2021-04-23,37
2021-04-23,38
2021-04-24,39
2021-04-25,39
2021-04-26,40
2021-04-27,41
2021-04-27,42
2021-04-27,43
2021-04-28,43
2021-04-28,43
2021-04-29,44
2021-04-30,44
2021-04-30,44
2021-05-01,44
2021-05-02,45
2021-05-02,46
2021-05-02,47
2021-05-03,48
2021-05-04,48
2021-05-05,49
2021-05-05,50
2021-05-06,50
2021-05-07,51
2021-05-07,52
2021-05-08,54
2021-05-08,56
2021-05-09,58
2021-05-09,60
2021-05-10,61
2021-05-11,61
2021-05-12,63
2021-05-12,65
2021-05-13,65
2021-05-14,65
2021-05-15,65
2021-05-15,65
2021-05-16,66
2021-05-16,67
2021-05-17,67
2021-05-17,67
2021-05-18,67
2021-05-18,67
2021-05-18,67
2021-05-19,67
2021-05-20,67
2021-05-20,67
2021-05-21,68
2021-05-22,68
2021-05-22,68
2021-05-23,68
2021-05-24,69
2021-05-24,70
2021-05-24,71
2021-05-25,72
2021-05-26,73
2021-05-26,74
2021-05-26,75
2021-05-27,77
2021-05-27,79
2021-05-27,81
2021-05-27,83
2021-05-27,85
2021-05-28,87
2021-05-28,89
2021-05-29,89
2021-05-30,90
2021-05-31,90
2021-06-01,91
2021-06-01,92
2021-06-01,93
2021-06-01,94
2021-06-02,95
2021-06-03,95
2021-06-04,96
2021-06-04,97
2021-06-04,98
2021-06-05,98
2021-06-06,99
2021-06-06,100
2021-06-07,101
2021-06-08,102
2021-06-08,103
2021-06-09,104
2021-06-10,104
2021-06-10,104
2021-06-11,104
2021-06-12,105
2021-06-13,106
2021-06-13,107
2021-06-14,108
2021-06-14,109
2021-06-15,110
2021-06-16,111
2021-06-17,113
2021-06-17,115
2021-06-17,117
2021-06-18,118
2021-06-19,118
2021-06-20,119
2021-06-21,119
2021-06-22,120
2021-06-22,121
2021-06-22,122
2021-06-23,122
2021-06-24,123
2021-06-25,123
2021-06-25,123
2021-06-26,124
2021-06-27,124
2021-06-28,125
2021-06-28,126
2021-06-28,127
2021-06-28,128
2021-06-29,129
2021-06-30,130
2021-07-01,131
2021-07-02,132
2021-07-02,133
2021-07-02,134
2021-07-02,135
2021-07-03,136
2021-07-04,136
2021-07-05,136
2021-07-05,136
2021-07-05,136
2021-07-05,136
2021-07-05,136
2021-07-06,136
2021-07-07,136
2021-07-08,136
2021-07-09,138
2021-07-09,140
2021-07-09,142
2021-07-10,144
2021-07-10,146
2021-07-10,148
2021-07-11,149
2021-07-11,150
2021-07-12,151
2021-07-12,152
2021-07-13,153
2021-07-13,154
2021-07-14,156
2021-07-14,158
2021-07-14,160
2021-07-15,162
2021-07-15,164
2021-07-15,166
2021-07-16,167
2021-07-16,168
2021-07-17,170
2021-07-17,172
2021-07-17,174
2021-07-17,176
2021-07-18,176
2021-07-18,176
2021-07-19,177
2021-07-19,178
2021-07-20,178
2021-07-21,178
2021-07-21,178
2021-07-22,178
2021-07-22,178
2021-07-22,178
2021-07-23,179
2021-07-24,181
2021-07-24,183
2021-07-24,185
2021-07-25,186
2021-07-25,187
2021-07-26,188
2021-07-26,189
2021-07-27,191
2021-07-27,193
2021-07-27,195
2021-07-28,196
2021-07-28,197
2021-07-29,198
2021-07-30,199
2021-07-30,200
2021-07-31,200
2021-07-31,200
2021-07-31,200
2021-08-01,200
2021-08-02,201
2021-08-02,202
2021-08-02,203
2021-08-03,206
2021-08-03,209
2021-08-03,212
2021-08-03,215
2021-08-04,215
2021-08-05,215
2021-08-06,216
2021-08-06,217
2021-08-07,217
2021-08-07,217
2021-08-07,217
2021-08-08,219
2021-08-08,221
2021-08-08,223
2021-08-09,223
2021-08-09,223
2021-08-10,223
2021-08-11,224
2021-08-12,224
2021-08-13,225
2021-08-13,226
2021-08-14,227
2021-08-15,228
2021-08-16,229
2021-08-16,230
2021-08-17,233
2021-08-17,236
2021-08-17,239
2021-08-17,242
2021-08-18,243
2021-08-18,244
2021-08-19,244
2021-08-19,244
2021-08-19,244
2021-08-20,245
2021-08-20,246
