date,number_of_users
2021-03-15,1
2021-03-16,2
2021-03-17,3
2021-03-18,4
2021-03-19,5
2021-03-20,7
2021-03-20,9
2021-03-21,10
2021-03-22,11
2021-03-23,12
2021-03-24,13
2021-03-25,14
2021-03-26,15
2021-03-27,17
2021-03-27,19
2021-03-28,21
2021-03-28,23
2021-03-29,24
2021-03-30,26
2021-03-30,28
2021-03-31,29
2021-04-01,30
2021-04-02,32
2021-04-02,34
2021-04-03,36
2021-04-03,38
2021-04-04,39
2021-04-05,40
2021-04-06,42
2021-04-06,44
2021-04-07,45
2021-04-08,46
2021-04-09,48
2021-04-09,50
2021-04-10,51
2021-04-11,52
2021-04-12,53
2021-04-13,54
2021-04-14,57
2021-04-14,60
2021-04-14,63
2021-04-15,64
2021-04-16,66
2021-04-16,68
2021-04-17,70
2021-04-17,72
2021-04-18,74
2021-04-18,76
2021-04-19,77
2021-04-20,80
2021-04-20,83
2021-04-20,86
2021-04-21,88
2021-04-21,90
2021-04-22,91
2021-04-23,93
2021-04-23,95
2021-04-24,96
2021-04-25,97
2021-04-26,98
2021-04-27,101
2021-04-27,104
2021-04-27,107
2021-04-28,109
2021-04-28,111
2021-04-29,112
2021-04-30,114
2021-04-30,116
2021-05-01,117
2021-05-02,120
2021-05-02,123
2021-05-02,126
2021-05-03,127
2021-05-04,128
2021-05-05,130
2021-05-05,132
2021-05-06,133
2021-05-07,135
2021-05-07,137
2021-05-08,139
2021-05-08,141
2021-05-09,143
2021-05-09,145
2021-05-10,146
2021-05-11,147
2021-05-12,149
2021-05-12,151
2021-05-13,152
2021-05-14,153
2021-05-15,155
2021-05-15,157
2021-05-16,159
2021-05-16,161
2021-05-17,163
2021-05-17,165
2021-05-18,168
2021-05-18,171
2021-05-18,174
2021-05-19,175
2021-05-20,177
2021-05-20,179
2021-05-21,180
2021-05-22,182
2021-05-22,184
2021-05-23,185
2021-05-24,188
2021-05-24,191
2021-05-24,194
2021-05-25,195
2021-05-26,198
2021-05-26,201
2021-05-26,204
2021-05-27,209
2021-05-27,214
2021-05-27,219
2021-05-27,224
2021-05-27,229
2021-05-28,231
2021-05-28,233
2021-05-29,234
2021-05-30,235
2021-05-31,236
2021-06-01,240
2021-06-01,244
2021-06-01,248
2021-06-01,252
2021-06-02,253
2021-06-03,254
2021-06-04,257
2021-06-04,260
2021-06-04,263
2021-06-05,264
2021-06-06,266
2021-06-06,268
2021-06-07,269
2021-06-08,271
2021-06-08,273
2021-06-09,274
2021-06-10,276
2021-06-10,278
2021-06-11,279
2021-06-12,280
2021-06-13,282
2021-06-13,284
2021-06-14,286
2021-06-14,288
2021-06-15,289
2021-06-16,290
2021-06-17,293
2021-06-17,296
2021-06-17,299
2021-06-18,300
2021-06-19,301
2021-06-20,302
2021-06-21,303
2021-06-22,306
2021-06-22,309
2021-06-22,312
2021-06-23,313
2021-06-24,314
2021-06-25,316
2021-06-25,318
2021-06-26,319
2021-06-27,320
2021-06-28,324
2021-06-28,328
2021-06-28,332
2021-06-28,336
2021-06-29,337
2021-06-30,338
2021-07-01,339
2021-07-02,343
2021-07-02,347
2021-07-02,351
2021-07-02,355
2021-07-03,356
2021-07-04,357
2021-07-05,362
2021-07-05,367
2021-07-05,372
2021-07-05,377
2021-07-05,382
2021-07-06,383
2021-07-07,384
2021-07-08,385
2021-07-09,388
2021-07-09,391
2021-07-09,394
2021-07-10,397
2021-07-10,400
2021-07-10,403
2021-07-11,405
2021-07-11,407
2021-07-12,409
2021-07-12,411
2021-07-13,413
2021-07-13,415
2021-07-14,418
2021-07-14,421
2021-07-14,424
2021-07-15,427
2021-07-15,430
2021-07-15,433
2021-07-16,435
2021-07-16,437
2021-07-17,441
2021-07-17,445
2021-07-17,449
2021-07-17,453
2021-07-18,455
2021-07-18,457
2021-07-19,459
2021-07-19,461
2021-07-20,462
2021-07-21,464
2021-07-21,466
2021-07-22,469
2021-07-22,472
2021-07-22,475
2021-07-23,476
2021-07-24,479
2021-07-24,482
2021-07-24,485
2021-07-25,487
2021-07-25,489
2021-07-26,491
2021-07-26,493
2021-07-27,496
2021-07-27,499
2021-07-27,502
2021-07-28,504
2021-07-28,506
2021-07-29,507
2021-07-30,509
2021-07-30,511
2021-07-31,514
2021-07-31,517
2021-07-31,520
2021-08-01,521
2021-08-02,524
2021-08-02,527
2021-08-02,530
2021-08-03,534
2021-08-03,538
2021-08-03,542
2021-08-03,546
2021-08-04,547
2021-08-05,548
2021-08-06,550
2021-08-06,552
2021-08-07,555
2021-08-07,558
2021-08-07,561
2021-08-08,564
2021-08-08,567
2021-08-08,570
2021-08-09,572
2021-08-09,574
2021-08-10,575
2021-08-11,576
2021-08-12,577
2021-08-13,579
2021-08-13,581
2021-08-14,582
2021-08-15,583
2021-08-16,585
2021-08-16,587
2021-08-17,591
2021-08-17,595
2021-08-17,599
2021-08-17,603
2021-08-18,605
2021-08-18,607
2021-08-19,610
2021-08-19,613
2021-08-19,616
2021-08-20,618
2021-08-20,620
2021-08-21,623
2021-08-21,626
2021-08-21,629
2021-08-22,631
2021-08-22,633
2021-08-23,636
2021-08-23,639
2021-08-23,642
2021-08-24,644
2021-08-24,646
2021-08-25,649
2021-08-25,652
2021-08-25,655
2021-08-26,657
2021-08-26,659
2021-08-27,661
2021-08-27,663
2021-08-28,667
2021-08-28,671
2021-08-28,675
2021-08-28,679
2021-08-29,680
2021-08-30,682
2021-08-30,684
2021-08-31,686
2021-08-31,688
2021-09-01,690
2021-09-01,692
2021-09-02,693
2021-09-03,695
2021-09-03,697
2021-09-04,698
2021-09-05,700
2021-09-05,702
2021-09-06,703
2021-09-07,706
2021-09-07,709
2021-09-07,712
