date,number_of_users
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-27,0
2021-03-28,0
2021-03-28,0
2021-03-29,0
2021-03-30,1
2021-03-30,2
2021-03-31,2
2021-04-01,2
2021-04-02,2
2021-04-02,2
2021-04-03,2
2021-04-03,2
2021-04-04,2
2021-04-05,2
2021-04-06,2
2021-04-06,2
2021-04-07,2
2021-04-08,3
2021-04-09,4
2021-04-09,5
2021-04-10,5
2021-04-11,5
2021-04-12,5
2021-04-13,6
2021-04-14,8
2021-04-14,10
2021-04-14,12
2021-04-15,12
2021-04-16,12
2021-04-16,12
2021-04-17,12
2021-04-17,12
2021-04-18,13
2021-04-18,14
2021-04-19,14
2021-04-20,14
2021-04-20,14
2021-04-20,14
2021-04-21,14
2021-04-21,14
2021-04-22,14
2021-04-23,14
2021-04-23,14
2021-04-24,14
2021-04-25,14
2021-04-26,14
2021-04-27,14
2021-04-27,14
2021-04-27,14
2021-04-28,16
2021-04-28,18
2021-04-29,18
2021-04-30,18
2021-04-30,18
2021-05-01,18
2021-05-02,18
2021-05-02,18
2021-05-02,18
2021-05-03,18
2021-05-04,18
2021-05-05,18
2021-05-05,18
2021-05-06,19
2021-05-07,20
2021-05-07,21
2021-05-08,21
2021-05-08,21
2021-05-09,21
2021-05-09,21
2021-05-10,21
2021-05-11,21
2021-05-12,21
2021-05-12,21
2021-05-13,21
2021-05-14,21
2021-05-15,22
2021-05-15,23
2021-05-16,23
2021-05-16,23
2021-05-17,24
2021-05-17,25
2021-05-18,26
2021-05-18,27
2021-05-18,28
2021-05-19,28
2021-05-20,28
2021-05-20,28
2021-05-21,28
2021-05-22,30
2021-05-22,32
2021-05-23,32
2021-05-24,32
2021-05-24,32
2021-05-24,32
2021-05-25,32
2021-05-26,34
2021-05-26,36
2021-05-26,38
2021-05-27,40
2021-05-27,42
2021-05-27,44
2021-05-27,46
2021-05-27,48
2021-05-28,48
2021-05-28,48
2021-05-29,49
2021-05-30,49
2021-05-31,49
2021-06-01,51
2021-06-01,53
2021-06-01,55
2021-06-01,57
2021-06-02,57
2021-06-03,58
2021-06-04,59
2021-06-04,60
2021-06-04,61
2021-06-05,61
2021-06-06,61
2021-06-06,61
2021-06-07,61
2021-06-08,62
2021-06-08,63
2021-06-09,63
2021-06-10,64
2021-06-10,65
2021-06-11,66
2021-06-12,66
2021-06-13,66
2021-06-13,66
2021-06-14,67
2021-06-14,68
2021-06-15,68
2021-06-16,68
2021-06-17,69
2021-06-17,70
2021-06-17,71
2021-06-18,71
2021-06-19,71
2021-06-20,71
2021-06-21,71
2021-06-22,71
2021-06-22,71
2021-06-22,71
2021-06-23,71
2021-06-24,71
2021-06-25,72
2021-06-25,73
2021-06-26,73
2021-06-27,73
2021-06-28,73
2021-06-28,73
2021-06-28,73
2021-06-28,73
2021-06-29,73
2021-06-30,73
2021-07-01,73
2021-07-02,74
2021-07-02,75
2021-07-02,76
2021-07-02,77
2021-07-03,77
2021-07-04,77
2021-07-05,78
2021-07-05,79
2021-07-05,80
2021-07-05,81
2021-07-05,82
2021-07-06,82
2021-07-07,82
2021-07-08,82
2021-07-09,83
2021-07-09,84
2021-07-09,85
2021-07-10,85
2021-07-10,85
2021-07-10,85
2021-07-11,85
2021-07-11,85
2021-07-12,85
2021-07-12,85
2021-07-13,85
2021-07-13,85
2021-07-14,86
2021-07-14,87
2021-07-14,88
2021-07-15,88
2021-07-15,88
2021-07-15,88
2021-07-16,88
2021-07-16,88
2021-07-17,88
2021-07-17,88
2021-07-17,88
2021-07-17,88
2021-07-18,90
2021-07-18,92
2021-07-19,92
2021-07-19,92
2021-07-20,93
2021-07-21,95
2021-07-21,97
2021-07-22,97
2021-07-22,97
2021-07-22,97
2021-07-23,97
2021-07-24,97
2021-07-24,97
2021-07-24,97
2021-07-25,97
2021-07-25,97
2021-07-26,97
2021-07-26,97
2021-07-27,97
2021-07-27,97
2021-07-27,97
2021-07-28,97
2021-07-28,97
2021-07-29,97
2021-07-30,97
2021-07-30,97
2021-07-31,97
2021-07-31,97
2021-07-31,97
2021-08-01,98
2021-08-02,99
2021-08-02,100
2021-08-02,101
2021-08-03,101
2021-08-03,101
2021-08-03,101
2021-08-03,101
2021-08-04,101
2021-08-05,102
2021-08-06,102
2021-08-06,102
2021-08-07,104
2021-08-07,106
2021-08-07,108
2021-08-08,108
2021-08-08,108
2021-08-08,108
2021-08-09,109
2021-08-09,110
2021-08-10,110
2021-08-11,110
2021-08-12,110
2021-08-13,111
2021-08-13,112
2021-08-14,112
2021-08-15,112
2021-08-16,113
2021-08-16,114
2021-08-17,114
2021-08-17,114
2021-08-17,114
2021-08-17,114
2021-08-18,115
2021-08-18,116
2021-08-19,116
2021-08-19,116
2021-08-19,116
2021-08-20,116
2021-08-20,116
